#Site	lnL	
0	-5.45256756425
1	-5.68096017436
2	-5.40548358028
3	-4.80148151197
4	-5.80636973937
5	-5.44880963774
6	-5.33620047798
7	-9.57574238493
8	-4.90508187107
9	-5.2446174319
10	-17.0150651995
11	-9.46943629261
12	-5.48581544673
13	-5.48581544673
14	-9.06498258038
15	-9.06438093404
16	-6.22997229667
17	-5.48581544673
18	-23.7962422495
19	-20.6138618421
20	-5.95975508744
21	-18.3159875974
22	-9.47272871034
23	-5.10945541092
24	-9.04771771914
25	-8.93458317717
26	-11.5967126023
27	-11.4159325621
28	-10.3224550762
29	-25.5467166836
30	-8.70309847596
31	-5.37108660637
32	-16.512378274
33	-13.3830837329
34	-5.75612508904
35	-9.91230640277
36	-5.34054793275
37	-5.37108660637
38	-19.0909248598
39	-10.2570558564
40	-5.33921063652
41	-8.86000497297
42	-13.8084175429
43	-17.0273149765
44	-19.3884860151
45	-18.8531922788
46	-16.8179646462
47	-29.124905143
48	-15.1107276725
49	-5.5899786487
50	-10.1932796664
51	-19.4272943139
52	-5.60068091887
53	-5.45256756425
54	-14.1346242274
55	-12.8175378294
56	-9.32327080646
57	-8.63498766729
58	-11.7124112173
59	-9.90836272951
60	-10.1978035546
61	-17.8431534255
62	-12.6078625322
63	-5.5899786487
64	-4.80148151197
65	-13.0433017006
66	-4.90508187107
67	-5.07184116362
68	-5.33620047798
69	-10.32717635
70	-10.4407174484
71	-15.0541021237
72	-5.18074187113
73	-5.33620047798
74	-5.37108660637
75	-9.83284076834
76	-18.1702953274
77	-12.6872792857
78	-9.39626598434
79	-9.50073813811
80	-9.2274504397
81	-5.51231601254
82	-10.3736937194
83	-5.14956635701
84	-20.3712577841
85	-22.2861417823
86	-14.4174238263
87	-21.2215936624
88	-12.9134932878
89	-11.4191963924
90	-18.5853644199
91	-7.74514082567
92	-19.8593265698
93	-22.9717577443
94	-11.4348487924
95	-19.3214854438
96	-5.07184116362
97	-5.51231601254
98	-5.29657675532
99	-34.4724461318
100	-5.49180125643
101	-9.33555740652
102	-25.4272620547
103	-12.0279423178
104	-5.95975508744
105	-5.56097933248
106	-5.03388198822
107	-12.7976883817
108	-8.1073732876
109	-5.51231601254
110	-11.7586802533
111	-5.56357787884
112	-5.18074187113
113	-9.59957312477
114	-12.5061857641
115	-16.9175638351
116	-5.2446174319
117	-5.10945541092
118	-13.0061469409
119	-8.19271550828
120	-22.4364411664
121	-5.0006213531
122	-20.7038436729
123	-20.995421976
124	-13.2282693834
125	-20.5434573767
126	-14.3201821976
127	-17.6841063117
128	-14.2868927434
129	-9.68378769201
130	-8.55230789111
131	-9.17378863731
132	-5.68096017436
133	-5.60068091887
134	-5.51231601254
135	-13.2758522574
136	-9.02950779592
137	-13.8645780527
138	-5.49179032354
139	-11.0786601087
140	-11.7969290941
141	-9.17372438431
142	-9.35253003739
143	-5.40548358028
144	-9.47055414642
145	-5.0006213531
146	-20.4282347231
147	-5.95975508744
148	-8.33548462089
149	-14.6495727368
150	-5.68096017436
151	-5.37430107242
152	-5.80636973937
153	-5.49179032354
154	-13.9709856673
155	-9.1992539711
156	-5.32236478515
