#Site	lnL	
0	-5.35754529474
1	-8.35106941512
2	-8.83997333773
3	-5.35754529474
4	-5.19478696541
5	-8.9661531918
6	-5.20447103168
7	-5.42864625045
8	-7.36547276861
9	-9.94587212797
10	-5.03615943952
11	-7.0537941276
12	-5.04530446068
13	-10.0374829291
14	-7.88003878788
15	-9.94587212797
16	-5.19478696541
17	-13.6015745187
18	-10.0891418189
19	-8.25558872574
20	-7.36547276861
21	-5.20447103168
22	-5.03615943952
23	-7.88003878788
24	-5.20447103168
25	-5.34722811386
26	-7.0537941276
27	-5.04530446068
28	-11.4589641776
29	-7.68266627368
30	-5.20447103168
31	-5.03615943952
32	-7.0537941276
33	-5.04530446068
34	-11.0607082639
35	-7.36547276861
36	-5.35754529474
37	-7.72549705493
38	-8.26174978046
39	-5.20447103168
40	-10.7318666456
41	-7.36547276861
42	-7.63285799297
43	-5.19478696541
44	-9.47633002283
45	-5.20447103168
46	-11.2746520807
47	-9.00175659684
48	-5.20447103168
49	-5.42864625045
50	-7.68266627368
51	-9.87238544443
52	-5.42864625045
53	-8.72731920449
54	-5.20447103168
55	-10.6175552257
56	-7.88003878788
57	-5.04530446068
58	-5.42864625045
59	-7.0537941276
60	-5.20447103168
61	-10.0032927015
62	-8.92646957925
63	-5.43947166387
64	-8.47686486578
65	-10.3885498239
66	-5.20447103168
67	-5.42864625045
68	-7.0537941276
69	-11.8627756629
70	-5.34722811386
71	-8.72731920449
72	-5.43947166387
73	-5.42864625045
74	-7.36547276861
75	-14.1316990495
76	-5.03615943952
77	-8.51286008854
78	-5.04530446068
79	-5.19478696541
80	-7.68266627368
81	-5.04530446068
82	-11.9901397443
83	-7.36547276861
84	-8.3220132478
85	-5.19478696541
86	-7.68266627368
87	-8.24000076187
88	-5.42864625045
89	-9.72954271117
90	-5.43947166387
91	-5.03615943952
92	-9.27708770584
93	-5.20447103168
94	-5.19478696541
95	-11.1196614417
96	-5.04530446068
97	-12.0960961147
98	-7.68266627368
99	-5.20447103168
100	-5.03615943952
101	-7.68266627368
102	-8.24000076187
103	-7.72549705493
104	-7.0537941276
105	-13.2267680521
106	-5.03615943952
107	-9.34094317797
108	-11.0406548549
109	-5.19478696541
110	-7.68266627368
111	-8.89406988076
112	-5.42864625045
113	-7.68266627368
114	-5.35754529474
115	-5.03615943952
116	-7.0537941276
117	-5.20447103168
118	-8.785798835
119	-14.1776760164
120	-5.43947166387
121	-5.03615943952
122	-7.88003878788
123	-5.04530446068
124	-8.45876914865
125	-7.68266627368
126	-5.35754529474
127	-5.19478696541
128	-7.0537941276
129	-5.43947166387
130	-8.35106941512
131	-7.88003878788
132	-5.43947166387
133	-5.42864625045
134	-7.0537941276
135	-5.20447103168
136	-16.0451116084
137	-8.22306430758
138	-5.43947166387
139	-5.03615943952
140	-7.88003878788
141	-10.8407778663
142	-11.2304180962
143	-7.36547276861
144	-10.2214940894
145	-5.42864625045
146	-7.36547276861
147	-9.94587212797
148	-5.03615943952
149	-10.7704625954
150	-5.04530446068
151	-5.19478696541
152	-7.36547276861
153	-5.04530446068
154	-5.03615943952
155	-7.68266627368
156	-5.43947166387
157	-5.03615943952
158	-11.6173729611
159	-5.04530446068
160	-5.19478696541
161	-7.88003878788
162	-5.20447103168
163	-5.03615943952
164	-7.88003878788
165	-5.04530446068
166	-5.34722811386
167	-10.745335699
168	-5.04530446068
169	-5.42864625045
170	-7.0537941276
171	-5.43947166387
172	-5.19478696541
173	-7.0537941276
174	-10.0891418189
175	-5.42864625045
176	-7.68266627368
177	-17.7012771366
178	-10.7318666456
179	-7.88003878788
180	-5.04530446068
181	-15.0538842261
182	-7.68266627368
183	-5.43947166387
184	-5.19478696541
185	-9.47813019348
186	-5.04530446068
187	-5.34722811386
188	-7.36547276861
189	-12.9933829176
190	-5.19478696541
191	-9.5246659896
192	-10.0220021837
193	-5.42864625045
194	-7.36547276861
195	-5.35754529474
196	-11.7060812548
197	-7.0537941276
198	-5.43947166387
199	-5.42864625045
200	-10.0891633995
201	-12.4290196267
202	-5.34722811386
203	-7.0537941276
204	-5.43947166387
205	-5.34722811386
206	-7.68266627368
207	-11.1815309769
208	-5.03615943952
209	-7.0537941276
210	-5.43947166387
211	-10.984302996
212	-11.6173729611
213	-9.94587212797
214	-5.42864625045
215	-7.0537941276
216	-5.04530446068
217	-5.03615943952
218	-7.68266627368
219	-8.34255417265
220	-5.42864625045
221	-7.88003878788
222	-11.3893200316
223	-5.34722811386
224	-7.36547276861
225	-12.2595868735
226	-5.03615943952
227	-7.88003878788
228	-5.20447103168
229	-15.6373028291
230	-7.68266627368
231	-5.04530446068
232	-5.19478696541
233	-8.94375026859
234	-5.43947166387
235	-5.42864625045
236	-9.09230923793
237	-11.1584571015
238	-5.03615943952
239	-7.68266627368
240	-5.43947166387
241	-10.984302996
242	-8.72731920449
243	-11.7876231113
244	-5.42864625045
245	-7.36547276861
246	-8.89406988076
247	-10.1681037567
248	-7.68266627368
249	-11.1815309769
250	-11.8799307918
251	-10.651659454
252	-5.04530446068
253	-10.881693847
254	-7.36547276861
255	-10.8462075612
256	-5.34722811386
257	-7.88003878788
258	-5.35754529474
259	-13.1708722356
260	-9.34153087459
261	-5.04530446068
262	-5.34722811386
263	-7.0537941276
264	-5.20447103168
265	-5.03615943952
266	-7.88003878788
267	-11.8514326348
268	-10.7368532812
269	-9.2867346172
270	-5.35754529474
271	-11.5073510135
272	-7.36547276861
273	-5.04530446068
274	-10.6798580303
275	-7.36547276861
276	-5.20447103168
277	-14.1762993214
278	-9.32785490559
279	-5.43947166387
280	-5.19478696541
281	-10.97304137
282	-5.04530446068
283	-11.7546776044
284	-7.36547276861
285	-5.35754529474
286	-5.03615943952
287	-7.36547276861
288	-5.04530446068
289	-5.19478696541
290	-11.1374029175
291	-5.04530446068
292	-10.2592911816
293	-7.88003878788
294	-5.43947166387
295	-5.03615943952
296	-7.68266627368
297	-5.35754529474
298	-5.34722811386
299	-7.0537941276
300	-11.2332830654
301	-5.34722811386
302	-7.68266627368
303	-15.5105355373
304	-12.7673096702
305	-7.68266627368
306	-5.04530446068
307	-5.19478696541
308	-7.88003878788
309	-5.35754529474
310	-11.2405195832
311	-9.72954271117
312	-17.8034443274
313	-5.19478696541
314	-7.88003878788
315	-5.04530446068
316	-5.42864625045
317	-8.83997333773
318	-5.04530446068
319	-5.42864625045
320	-7.36547276861
321	-5.43947166387
322	-5.34722811386
323	-8.56527246386
324	-10.2214940894
325	-5.19478696541
326	-7.0537941276
327	-10.2521097168
328	-14.3635163186
329	-7.36547276861
330	-5.04530446068
331	-10.2476237353
332	-7.0537941276
333	-5.43947166387
334	-10.0374829291
335	-12.4294355261
336	-10.7518929562
337	-5.19478696541
338	-7.0537941276
339	-5.35754529474
340	-5.19478696541
341	-7.0537941276
342	-5.35754529474
343	-5.03615943952
344	-10.3885498239
345	-5.35754529474
346	-11.187216653
347	-7.0537941276
348	-11.1815309769
349	-5.19478696541
350	-12.2520696872
351	-11.434695934
352	-5.19478696541
353	-14.6132915942
354	-5.43947166387
355	-5.03615943952
356	-7.0537941276
357	-5.43947166387
358	-10.6798580303
359	-9.93875199716
360	-5.04530446068
361	-5.42864625045
362	-12.6386950313
363	-5.43947166387
364	-10.0032927015
365	-7.68266627368
366	-8.89406988076
367	-10.2375407976
368	-7.36547276861
369	-11.4307717333
370	-12.7388108816
371	-9.42908509679
372	-5.35754529474
373	-5.34722811386
374	-9.04340191964
375	-11.7312293477
376	-5.34722811386
377	-10.4442352711
378	-5.35754529474
379	-12.1229393541
380	-7.36547276861
381	-5.20447103168
382	-5.03615943952
383	-7.0537941276
384	-11.0406548549
385	-5.19478696541
386	-7.36547276861
387	-8.80185662726
388	-8.32953243364
389	-7.68266627368
390	-10.7429812196
391	-5.03615943952
392	-9.62831251997
393	-5.35754529474
394	-10.0374829291
395	-8.49627419993
396	-14.5119984455
397	-5.34722811386
398	-9.72954271117
399	-5.35754529474
400	-10.2375407976
401	-7.0537941276
402	-9.78924488799
403	-10.1155618613
404	-7.36547276861
405	-5.43947166387
406	-10.0032927015
407	-7.0537941276
408	-10.5418256196
409	-10.3080920766
410	-10.2194152938
411	-5.04530446068
412	-5.34722811386
413	-9.42908509679
414	-11.0406548549
415	-5.03615943952
416	-7.0537941276
417	-5.20447103168
418	-15.8722579087
419	-12.8244648642
420	-5.20447103168
421	-11.0694144063
422	-8.22306430758
423	-5.35754529474
424	-5.03615943952
425	-7.88003878788
426	-5.20447103168
427	-5.42864625045
428	-7.0537941276
429	-5.04530446068
430	-5.42864625045
431	-9.0028928379
432	-5.43947166387
433	-10.8540286043
434	-11.7799326314
435	-10.9043390617
436	-5.19478696541
437	-7.68266627368
438	-5.04530446068
439	-5.42864625045
440	-7.0537941276
441	-11.8627756629
442	-5.42864625045
443	-7.68266627368
444	-12.4290196267
445	-8.32953243364
446	-7.0537941276
447	-11.4806364483
448	-5.19478696541
449	-7.88003878788
450	-5.35754529474
451	-5.34722811386
452	-7.0537941276
453	-5.43947166387
454	-5.03615943952
455	-9.47813019348
456	-12.7428347775
457	-12.2669538104
458	-7.0537941276
459	-5.20447103168
460	-5.03615943952
461	-7.88003878788
462	-14.815688478
463	-5.19478696541
464	-7.36547276861
465	-5.20447103168
466	-10.1155618613
467	-13.3213355769
468	-5.04530446068
469	-5.03615943952
470	-9.56666942034
