#Site	lnL	
0	-1.71730409265
1	-1.72331368823
2	-2.90079640128
3	-6.83565410404
4	-1.72331368823
5	-4.3294440548
6	-1.52723492109
7	-12.8210814783
8	-3.07102060569
9	-1.52723492109
10	-5.5741461161
11	-7.62205551649
12	-5.58620291481
13	-1.72331368823
14	-12.0222424982
15	-1.6086905812
16	-1.93695582166
17	-5.46900591705
18	-1.6086905812
19	-2.13817240606
20	-4.40071685084
21	-6.58469827057
22	-7.81607697111
23	-7.06211907541
24	-5.58620291481
25	-1.72331368823
26	-2.90079640128
27	-1.90549885662
28	-2.13817240606
29	-4.59721783208
30	-1.71730409265
31	-1.72331368823
32	-3.55515715828
33	-1.52723492109
34	-6.84622314759
35	-3.26206914853
36	-1.71730409265
37	-2.13817240606
38	-3.55515715828
39	-1.71730409265
40	-6.56835243985
41	-3.07102060569
42	-1.71730409265
43	-4.63977604413
44	-3.26206914853
45	-10.7961767099
46	-1.8173841307
47	-3.07102060569
48	-1.52723492109
49	-1.8173841307
50	-4.59721783208
51	-1.71730409265
52	-2.13817240606
53	-4.59721783208
54	-7.39806625762
55	-1.93695582166
56	-6.43405059101
57	-6.95683286005
58	-6.09457271739
59	-3.26206914853
60	-8.10128543071
61	-2.13817240606
62	-3.55515715828
63	-1.52723492109
64	-1.72331368823
65	-5.32466846714
66	-7.35527245804
67	-6.85608141957
68	-6.8168029957
69	-1.52723492109
70	-12.4958964501
71	-3.26206914853
72	-5.02704051185
73	-9.03688497391
74	-3.07102060569
75	-6.88237877221
76	-1.72331368823
77	-6.50699544263
78	-5.83388521515
79	-4.5773353177
80	-6.31470144635
81	-1.6086905812
82	-6.52032729664
83	-3.26206914853
84	-1.52723492109
85	-1.8173841307
86	-2.90079640128
87	-1.52723492109
88	-2.13817240606
89	-6.31470144635
90	-1.6086905812
91	-1.8173841307
92	-2.90079640128
93	-1.52723492109
94	-1.8173841307
95	-3.07102060569
96	-9.6784141523
97	-9.30536685981
98	-6.31751004831
99	-9.66031587231
100	-9.35582546957
101	-3.26206914853
102	-1.52723492109
103	-8.34109969598
104	-3.07102060569
105	-1.52723492109
106	-1.93695582166
107	-6.49203249908
108	-1.6086905812
109	-1.93695582166
110	-3.26206914853
111	-1.71730409265
112	-1.72331368823
113	-5.07555459496
114	-1.71730409265
115	-1.8173841307
116	-3.26206914853
117	-1.6086905812
118	-1.93695582166
119	-2.90079640128
120	-1.71730409265
121	-6.50634079935
122	-11.5809031668
123	-1.90549885662
124	-2.13817240606
125	-3.26206914853
126	-1.6086905812
127	-1.93695582166
128	-4.67376573842
129	-1.71730409265
130	-1.72331368823
131	-2.90079640128
132	-7.56831577586
133	-5.5741461161
134	-2.90079640128
135	-1.52723492109
136	-1.72331368823
137	-4.74655278614
138	-1.90549885662
139	-1.8173841307
140	-2.90079640128
141	-10.6558995146
142	-1.72331368823
143	-2.90079640128
144	-1.6086905812
145	-5.70918495863
146	-9.01167017603
147	-1.6086905812
148	-6.53294367183
149	-3.55515715828
