#Site	lnL	
0	-1.75060663948
1	-2.23153322567
2	-7.20457499112
3	-1.75060663948
4	-5.45943093968
5	-1.73303064123
6	-5.85658038451
7	-11.0807265309
8	-1.26591385227
9	-1.89468211294
10	-1.95725706243
11	-1.73303064123
12	-1.66828868192
13	-5.3530474833
14	-6.87471986055
15	-1.66828868192
16	-1.8175752064
17	-1.26591385227
18	-4.87248636668
19	-1.95725706243
20	-1.73303064123
21	-10.8083868153
22	-12.5045793281
23	-1.33229996822
24	-6.14444402061
25	-1.8175752064
26	-7.43118514193
27	-5.50874007871
28	-10.6600692712
29	-7.20305314203
30	-8.10552802453
31	-6.04063071999
32	-12.1428641916
33	-5.82631469078
34	-1.95725706243
35	-7.61651455529
36	-2.16237445202
37	-1.8175752064
38	-18.2014647217
39	-1.75060663948
40	-5.4381350707
41	-9.30976880916
42	-1.75060663948
43	-1.73265233202
44	-7.84015595537
45	-11.0957836475
46	-5.03643244845
47	-1.73303064123
48	-1.89468211294
49	-2.23153322567
50	-14.222949121
51	-1.66828868192
52	-8.14403828467
53	-7.85966348928
54	-5.11169188477
55	-8.06327226904
56	-7.85966348928
57	-2.16237445202
58	-1.8175752064
59	-1.33229996822
60	-6.1572858275
61	-1.8175752064
62	-1.73303064123
63	-2.16237445202
64	-4.78510631772
65	-1.26591385227
66	-2.16237445202
67	-7.3929184711
68	-1.26591385227
69	-5.7816892857
70	-1.8175752064
71	-1.50550272043
72	-9.97680359867
73	-6.01380879239
74	-1.26591385227
75	-1.66828868192
76	-1.73265233202
77	-7.51394452308
78	-1.89468211294
79	-5.03643244845
80	-14.3627748117
81	-5.62816227581
82	-1.8175752064
83	-1.50550272043
84	-5.15782276829
85	-1.95725706243
86	-1.26591385227
87	-1.66828868192
88	-5.43171793674
89	-7.20457499112
90	-1.75060663948
91	-2.23153322567
92	-1.26591385227
93	-1.66828868192
94	-1.73265233202
95	-1.26591385227
96	-1.75060663948
97	-8.38222377906
98	-7.7972558628
99	-1.75060663948
100	-1.95725706243
101	-7.26801498346
102	-1.66828868192
103	-2.23153322567
104	-7.20305314203
105	-6.58036824734
106	-1.95725706243
107	-1.50550272043
108	-4.87248636668
109	-6.69582141878
110	-1.26591385227
111	-6.11492315138
112	-4.79582940718
113	-1.50550272043
114	-6.1572858275
115	-6.03088272562
116	-7.26801498346
117	-2.16237445202
118	-1.73265233202
119	-13.2067872543
120	-1.89468211294
121	-1.73265233202
122	-7.51394452308
123	-5.17433602065
124	-1.8175752064
125	-7.7972558628
126	-1.66828868192
127	-1.73265233202
128	-6.87670720328
129	-4.86301954714
130	-2.23153322567
131	-6.22207523886
132	-1.66828868192
133	-8.53831765144
134	-1.26591385227
135	-1.89468211294
136	-1.8175752064
137	-7.20305314203
