#Site	lnL	
0	-2.22483871085
1	-5.4070291487
2	-2.55861845628
3	-6.58508981197
4	-2.57394248199
5	-2.41172739317
6	-5.70862950199
7	-2.48694912958
8	-2.49569478058
9	-2.28033494578
10	-6.54802833375
11	-2.49569478058
12	-2.35971106018
13	-2.57394248199
14	-6.23761470486
15	-2.35971106018
16	-2.48694912958
17	-2.49569478058
18	-2.15104680591
19	-2.48694912958
20	-2.6482819617
21	-6.55404243086
22	-5.41285790887
23	-2.55861845628
24	-5.87491557505
25	-5.4070291487
26	-2.55861845628
27	-2.22483871085
28	-2.57394248199
29	-2.41172739317
30	-2.28033494578
31	-2.48694912958
32	-5.52523936774
33	-2.28033494578
34	-2.34462268185
35	-6.3693900413
36	-2.35971106018
37	-2.34462268185
38	-6.75055174342
39	-2.22483871085
40	-8.64904279196
41	-5.73522675387
42	-2.35971106018
43	-9.4896036729
44	-2.55861845628
45	-2.15104680591
46	-2.42595213924
47	-2.6482819617
48	-2.35971106018
49	-2.48694912958
50	-2.41172739317
51	-9.88532851518
52	-5.42647057208
53	-2.49569478058
54	-6.56782668299
55	-2.34462268185
56	-2.6482819617
57	-6.10141969309
58	-2.34462268185
59	-2.6482819617
60	-7.37114855436
61	-2.57394248199
62	-14.1021391399
63	-2.15104680591
64	-2.42595213924
65	-14.6377494332
66	-2.28033494578
67	-6.60803251894
68	-6.54479269716
69	-2.22483871085
70	-2.57394248199
71	-2.55861845628
72	-2.28033494578
73	-2.34462268185
74	-2.6482819617
75	-7.83069834674
76	-6.77615445939
77	-2.6482819617
78	-10.4324474832
79	-2.34462268185
80	-2.41172739317
81	-12.4636338683
82	-2.57394248199
83	-9.59337406973
84	-6.94926142332
85	-6.57988885359
86	-7.29428544069
87	-2.28033494578
88	-2.34462268185
89	-2.41172739317
90	-2.15104680591
91	-2.48694912958
92	-11.4416983579
93	-6.88380962077
94	-2.57394248199
95	-2.55861845628
96	-2.15104680591
97	-7.71231776983
98	-5.73522675387
99	-2.15104680591
100	-2.57394248199
101	-9.5113983083
102	-6.94926142332
103	-9.04447827055
104	-9.41979648925
105	-2.15104680591
106	-7.32981668833
107	-5.49691329977
108	-2.15104680591
109	-2.42595213924
110	-2.49569478058
111	-2.22483871085
112	-5.54407022739
113	-2.55861845628
114	-2.15104680591
115	-5.82890485494
116	-2.41172739317
117	-2.15104680591
118	-2.34462268185
119	-2.55861845628
120	-12.5354392985
121	-2.48694912958
122	-2.41172739317
123	-2.28033494578
124	-2.42595213924
125	-14.9366661737
126	-2.22483871085
127	-2.57394248199
128	-5.49691329977
129	-2.28033494578
130	-2.48694912958
131	-2.55861845628
132	-5.87491557505
133	-9.69830824069
134	-5.48042605911
135	-5.87491557505
136	-2.34462268185
137	-2.55861845628
138	-2.35971106018
139	-14.9862399569
