#Site	lnL	
0	-6.06264949304
1	-6.29452772906
2	-6.01737153537
3	-5.40582525998
4	-6.42199118148
5	-6.06024552131
6	-5.94782691147
7	-10.1496050071
8	-5.50704951211
9	-5.85529738482
10	-17.8002078923
11	-10.1551240124
12	-6.0984131887
13	-6.0984131887
14	-9.75173546395
15	-9.74328183415
16	-6.84662394744
17	-6.0984131887
18	-25.1100584216
19	-21.4391879243
20	-6.5749859634
21	-18.8377102774
22	-10.1583789556
23	-5.71413931621
24	-9.58972058698
25	-9.61578310551
26	-13.0832494416
27	-12.7886542118
28	-11.0462266641
29	-26.3664335914
30	-9.23840912597
31	-5.98201419351
32	-16.6847998357
33	-13.4955142803
34	-6.37012447668
35	-10.6345027184
36	-5.93672619585
37	-5.98201419351
38	-19.1781398975
39	-10.98309218
40	-5.94391605581
41	-9.40025839643
42	-14.3072121359
43	-17.8638870744
44	-19.6702542036
45	-18.989062253
46	-16.9353477007
47	-29.2143267627
48	-16.5073512176
49	-6.19883338494
50	-10.7651336849
51	-19.5844154278
52	-6.21353098028
53	-6.06264949304
54	-15.8157474074
55	-12.9544114713
56	-9.86330541302
57	-9.17414759087
58	-12.471565804
59	-10.4719410308
60	-10.8174412794
61	-18.641634868
62	-14.616257399
63	-6.19883338494
64	-5.40582525998
65	-13.5409053407
66	-5.50704951211
67	-5.68083661423
68	-5.94782691147
69	-10.9573550055
70	-11.0132379136
71	-17.2859593427
72	-5.79122643176
73	-5.94782691147
74	-5.98201419351
75	-10.3754963073
76	-18.7505650628
77	-13.2429140868
78	-9.93850728697
79	-10.0393565143
80	-9.76982669958
81	-6.12066449959
82	-10.9169646275
83	-5.75906772977
84	-22.3998200137
85	-24.3910486724
86	-15.8640322928
87	-27.6877328134
88	-14.9690978043
89	-12.0409530594
90	-18.6995936535
91	-8.4169336798
92	-21.3224844455
93	-24.4845151535
94	-12.1993947489
95	-20.2700597074
96	-5.68083661423
97	-6.12066449959
98	-5.90697171255
99	-34.6234332603
100	-6.10315195438
101	-9.45357224109
102	-25.5447788599
103	-13.4020517689
104	-6.5749859634
105	-6.17400820278
106	-5.63815225149
107	-12.9338835874
108	-8.78363256795
109	-6.12066449959
110	-13.1365203406
111	-6.17668547333
112	-5.79122643176
113	-9.7183013521
114	-13.0554134603
115	-17.5869747596
116	-5.85529738482
117	-5.71413931621
118	-13.5350762906
119	-8.8632121808
120	-23.1900539859
121	-5.60383766681
122	-21.3983418736
123	-21.0926491758
124	-13.3645942047
125	-21.1919715597
126	-14.4470428462
127	-17.7583843117
128	-14.4912596864
129	-10.2244876545
130	-9.08647660985
131	-9.29205171644
132	-6.29452772906
133	-6.21353098028
134	-6.12066449959
135	-13.8070061572
136	-9.5686097312
137	-14.392417198
138	-6.10314247674
139	-11.7061809327
140	-12.4221647845
141	-9.29335631562
142	-9.47126517484
143	-6.01737153537
144	-9.58878640881
145	-5.60383766681
146	-21.306323061
147	-6.5749859634
148	-9.01180390189
149	-15.3320691148
150	-6.29452772906
151	-5.98520360043
152	-6.42199118148
153	-6.10314247674
154	-14.04448022
155	-9.3177750097
156	-5.93355244749
