#Site	lnL	
0	-1.72585561461
1	-1.79023475801
2	-2.02050459889
3	-1.60429619603
4	-1.88956996543
5	-1.89950440922
6	-4.93572929442
7	-1.88956996543
8	-2.02050459889
9	-5.82551371048
10	-6.07821816859
11	-7.65909581483
12	-1.72585561461
13	-7.74488103613
14	-1.89950440922
15	-5.59223425449
16	-7.73949245354
17	-1.89950440922
18	-6.24856295477
19	-1.91816121567
20	-4.4867905897
21	-1.6993912996
22	-1.88956996543
23	-2.00143569919
24	-1.71095539085
25	-10.7956298326
26	-10.5724475064
27	-1.60429619603
28	-1.79023475801
29	-2.03129687217
30	-1.60429619603
31	-1.88956996543
32	-1.89950440922
33	-1.60429619603
34	-11.1421328318
35	-1.89950440922
36	-1.60429619603
37	-1.88956996543
38	-2.03129687217
39	-1.72585561461
40	-6.07244719288
41	-8.56501020913
42	-1.6993912996
43	-1.79023475801
44	-2.03129687217
45	-1.71095539085
46	-1.79023475801
47	-1.89950440922
48	-1.60429619603
49	-6.20532465043
50	-2.00143569919
51	-5.49411406492
52	-7.37317432529
53	-2.02050459889
54	-1.72585561461
55	-1.88956996543
56	-5.47041411229
57	-1.60429619603
58	-1.79023475801
59	-5.9856991715
60	-5.51733616753
61	-5.57824404778
62	-4.4867905897
63	-1.71095539085
64	-5.57824404778
65	-1.89950440922
66	-1.60429619603
67	-1.90587500812
68	-2.00143569919
69	-1.60429619603
70	-1.88956996543
71	-2.03129687217
72	-1.60429619603
73	-1.88956996543
74	-6.40546402667
75	-1.60429619603
76	-1.88956996543
77	-2.02050459889
78	-1.60429619603
79	-1.90587500812
80	-4.60549907832
81	-1.6993912996
82	-1.90587500812
83	-2.02050459889
84	-1.6993912996
85	-4.61403023091
86	-5.36324977317
87	-1.6993912996
88	-1.79023475801
89	-5.34680554868
90	-1.60429619603
91	-1.79023475801
92	-1.89950440922
93	-1.60429619603
94	-6.1827054579
95	-4.60549907832
96	-1.72585561461
97	-1.90587500812
98	-2.02050459889
99	-1.60429619603
100	-1.90587500812
101	-1.89950440922
102	-1.60429619603
103	-1.91816121567
104	-4.61083059908
105	-1.6993912996
106	-8.34925924868
107	-6.04085693018
108	-1.71095539085
109	-1.90587500812
110	-2.03129687217
111	-1.72585561461
112	-7.66353659085
113	-7.29693706924
114	-1.60429619603
115	-1.79023475801
116	-2.03129687217
117	-1.71095539085
118	-1.91816121567
119	-2.00143569919
120	-1.71095539085
121	-6.09196304157
122	-2.00143569919
123	-1.6993912996
124	-1.88956996543
125	-1.89950440922
126	-1.71095539085
127	-1.88956996543
128	-4.61083059908
129	-1.72585561461
130	-1.79023475801
131	-6.43491087335
132	-6.3525765181
